Implementacion,Filosofos,Repeticion,TiempoReal,TiempoUsuario,TiempoSistema,UsoCPU_time,UsoCPU_pidstat_avg,PicoMemoria,CtxVoluntarios,CtxInvoluntarios
mutex-cond,5,1,20.01,0.01,0.00,0,4.32,1768,560,6
mutex-cond,5,2,20.01,0.00,0.00,0,8.58,1804,631,3
mutex-cond,5,3,20.00,0.00,0.01,0,3.92,1820,583,5
mutex-cond,10,1,20.00,0.00,0.01,0,4.33,1708,591,2
mutex-cond,10,2,20.00,0.00,0.00,0,4.93,1824,592,1
mutex-cond,10,3,20.00,0.00,0.00,0,5.45,1800,585,7
mutex-cond,15,1,20.00,0.00,0.01,0,4.93,1728,611,2
mutex-cond,15,2,20.00,0.00,0.00,0,5.03,1780,604,1
mutex-cond,15,3,20.00,0.01,0.00,0,8.65,1728,616,1
mutex-cond,20,1,20.00,0.01,0.00,0,4.69,1804,617,7
mutex-cond,20,2,20.00,0.00,0.01,0,5.07,1724,612,6
mutex-cond,20,3,20.00,0.00,0.00,0,4.68,1740,616,5
spin-lock,5,1,20.00,0.95,0.98,9,6.38,1776,274870,232
spin-lock,5,2,20.02,0.51,3.02,17,10.86,1728,236589,361
spin-lock,5,3,20.00,0.76,1.01,8,5.54,1776,301480,161
spin-lock,10,1,20.00,0.03,0.09,0,7.65,1776,20572,35
spin-lock,10,2,20.00,0.00,0.07,0,5.26,1764,19510,39
spin-lock,10,3,20.00,0.01,0.05,0,4.56,1796,13292,4
spin-lock,15,1,20.00,0.33,1.44,8,4.79,1712,330879,177
spin-lock,15,2,20.00,0.71,1.12,9,5.42,1776,326596,238
spin-lock,15,3,20.00,0.14,1.58,8,4.36,1704,333513,341
spin-lock,20,1,20.00,0.03,0.10,0,9.27,1816,36653,41
spin-lock,20,2,20.01,0.05,0.25,1,6.07,1724,28337,59
spin-lock,20,3,20.00,0.02,0.12,0,5.15,1772,31470,19
sem,5,1,20.00,0.00,0.03,0,3.53,1872,1479,3
sem,5,2,20.00,0.02,0.00,0,4.66,1740,1493,10
sem,5,3,20.00,0.01,0.01,0,4.37,1708,1480,5
sem,10,1,20.00,0.02,0.02,0,4.63,1724,3137,10
sem,10,2,20.01,0.02,0.04,0,7.60,1724,3250,23
sem,10,3,20.00,0.01,0.03,0,9.86,1732,3063,15
sem,15,1,20.00,0.01,0.06,0,8.88,1728,4826,17
sem,15,2,20.00,0.01,0.04,0,4.91,1716,4943,13
sem,15,3,20.00,0.02,0.05,0,3.89,1796,4824,16
sem,20,1,20.00,0.02,0.07,0,4.21,1836,6655,20
sem,20,2,20.00,0.01,0.05,0,5.00,1800,6424,23
sem,20,3,20.00,0.02,0.06,0,4.26,1768,6142,24
starving,5,1,20.00,0.00,0.00,0,3.91,1824,20,2
starving,5,2,20.00,0.00,0.00,0,2.63,1740,20,0
starving,5,3,20.00,0.00,0.00,0,3.78,1736,21,1
starving,10,1,20.00,0.00,0.00,0,2.66,1776,35,1
starving,10,2,20.00,0.00,0.00,0,4.49,1768,35,1
starving,10,3,20.00,0.00,0.00,0,3.99,1704,35,0
starving,15,1,20.00,0.00,0.00,0,5.43,1824,51,1
starving,15,2,20.02,0.00,0.01,0,4.96,1824,541,13
starving,15,3,20.00,0.01,0.00,0,4.72,1712,1047,10
starving,20,1,20.01,0.00,0.01,0,5.40,1716,1077,9
starving,20,2,20.00,0.00,0.00,0,7.49,1708,65,2
starving,20,3,20.00,0.00,0.00,0,7.97,1708,66,1
